CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
10051,Dm: Dubious method used,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Internationalization,/web/src/test/java/org/openmrs/web/filter/update/GZIPFilterTest.java,GZIPFilterTest.zipRequestWrapperTest_shouldReturnTrueIfUnzippedContentReadFromWrapperIsTheSameAsContentBeforeZipping
10050,DLS: Dead local store,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/api/ConceptServiceTest.java,ConceptServiceTest.mapConceptProposalToConcept_shouldNotSetValueCodedNameWhenAddConceptIsSelected
10047,Hashing a password with a weak salt,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Low impact security,/api/src/main/java/org/openmrs/util/Security.java,Security.incorrectlyEncodeString
10046,DLS: Dead local store,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/OrderEntryIntegrationTest.java,OrderEntryIntegrationTest.shouldNotReturnAProxyForPreviousOrder
10041,DLS: Dead local store,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/validator/RoleValidatorTest.java,RoleValidatorTest.validate_shouldFailValidationIfRoleIsNullOrEmptyOrWhitespace
10038,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/api/PatientServiceTest.java,PatientServiceTest.shouldFetchPersonAttributesForPersonsThatWereFirstFetchedAsPatients
10032,SIC: Inner class could be made static,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Performance,/api/src/test/java/org/openmrs/api/OrderServiceTest.java,
10031,RV: Bad use of return value,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Bad practice,/api/src/test/java/org/openmrs/api/ObsServiceTest.java,ObsServiceTest.getComplexObs_shouldNotFailWithNullView
10027,DP: Use doPrivileged,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Malicious code vulnerability,/api/src/main/java/org/openmrs/module/ModuleFactory.java,ModuleFactory.startModuleInternal
10026,DLS: Dead local store,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Dodgy code,/api/src/test/java/org/openmrs/api/db/ContextDAOTest.java,ContextDAOTest.authenticate_shouldThrowAPIExceptionIfUsernameIsWhiteSpace
10024,Dm: Dubious method used,Low,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,SpotBugs: Internationalization,/api/src/test/java/org/openmrs/api/FormServiceTest.java,FormServiceTest.getResourceAsString
